H1_T1_R1	H1_T1_R2	H1_T1_R3	H1_T2_R1	H1_T2_R2	H1_T2_R3	H1_T3_R1	H1_T3_R2	H1_T3_R3	H2_T1_R1	H2_T1_R3	H2_T2_R1	H2_T2_R2	H2_T2_R3	H2_T3_R1	H2_T3_R2	H2_T3_R3	H3_T1_R1	H3_T1_R2	H3_T1_R3	H3_T2_R1	H3_T2_R2	H3_T2_R3	H3_T3_R1	H3_T3_R2	H3_T3_R3	H4_T1_R1	H4_T1_R2	H4_T1_R3	H4_T2_R1_dup	H4_T2_R1	H4_T2_R2	H4_T2_R3	H4_T3_R1	H4_T3_R2	H4_T3_R3	H5_T1_R1	H5_T1_R2	H5_T1_R3	H5_T2_R1	H5_T2_R2	H5_T2_R3	H5_T3_R1	H5_T3_R2	H5_T3_R3	H6_T1_R1	H6_T1_R2	H6_T1_R3	H6_T2_R1	H6_T2_R2	H6_T2_R3	H6_T3_R1	H6_T3_R2	H6_T3_R3	H7_T1_R1	H7_T1_R2	H7_T1_R3	H7_T2_R1	H7_T2_R2	H7_T2_R3	H7_T3_R1	H7_T3_R2	H7_T3_R3	H8_T1_R1	H8_T1_R2	H8_T1_R3	H8_T2_R1	H8_T2_R2	H8_T2_R3	H8_T3_R1	H8_T3_R2	H8_T3_R3	H9_T1_R1	H9_T1_R2	H9_T1_R3	H9_T2_R1	H9_T2_R2	H9_T2_R3	H9_T3_R1	H9_T3_R2	H9_T3_R3
SV_49	35	735	59	0	73	0	0	0	12	3915	0	10	0	0	205	0	0	0	90	107	19	0	70	0	22	214	252	69	343	49	39	35	0	123	163	20	154	0	155	0	260	0	57	0	85	51	0	849	0	246	67	0	50	147	42	93	0	0	0	0	74	40	37	0	138	63	8	116	12	0	0	0	441	884	189	0	0	0	84	10	915
SV_52	17	36	25	562	148	60	297	124	78	37	6	411	118	693	69	124	110	28	4	0	136	43	33	356	120	232	17	0	0	9	10	40	59	229	113	51	8	8	5	36	90	294	45	117	157	0	0	0	97	252	99	69	51	37	1747	679	292	127	97	187	282	223	650	20	10	12	130	20	125	57	36	52	2	12	24	37	0	58	175	47	29
SV_54	155	190	289	0	0	59	0	58	0	215	356	0	0	0	705	99	136	242	78	97	0	152	0	0	0	66	0	69	113	134	104	0	86	412	0	0	0	0	404	145	871	161	221	77	170	316	0	352	217	154	60	141	93	83	72	88	142	0	156	115	113	88	271	0	217	0	94	0	64	305	145	0	217	170	64	0	0	0	110	156	300
SV_58	0	0	0	0	78	232	0	0	24	143	0	80	87	0	37	0	48	0	0	0	73	0	0	29	5	0	0	0	0	10	7	0	288	0	44	0	91	0	0	0	58	873	1112	297	65	127	54	0	21	334	0	79	0	18	40	0	242	314	190	144	194	0	99	0	0	0	368	53	374	0	0	0	38	0	33	1464	122	0	441	919	75
SV_59	30	206	0	21	110	89	0	20	0	228	29	29	19	20	31	105	4005	0	38	0	18	0	233	68	34	37	1202	0	34	20	19	80	96	0	36	0	0	18	0	0	0	43	0	115	40	7	37	0	36	38	84	0	47	0	26	137	62	20	264	35	0	0	29	36	55	54	71	12	70	0	95	0	49	134	32	103	36	134	47	0	0
SV_60	0	0	85	42	72	505	8	0	0	201	0	42	23	380	0	211	0	0	14	0	47	0	48	0	15	0	533	0	0	26	25	42	0	0	12	0	0	12	0	0	0	50	0	161	147	0	0	494	170	82	206	38	0	79	779	792	93	354	0	322	0	0	0	34	118	252	317	0	261	0	0	28	0	47	0	775	12	172	0	55	104
SV_61	378	687	452	107	362	0	20	24	0	553	22	0	24	46	52	81	114	0	0	87	0	0	30	59	141	34	15	39	0	0	0	0	33	0	23	46	1206	82	633	70	216	38	96	0	37	0	21	255	0	0	0	806	42	57	45	0	24	0	42	20	64	0	279	0	0	0	0	141	0	43	0	0	0	336	0	47	36	77	0	97	0
SV_65	136	0	97	144	0	0	0	318	0	302	178	0	227	0	46	74	0	81	0	0	165	263	0	75	0	168	0	0	117	87	99	215	203	64	147	0	80	333	126	260	167	94	76	0	57	108	62	152	66	168	86	73	74	0	199	128	185	0	0	0	99	56	78	33	165	0	53	0	46	102	0	122	209	80	0	85	70	0	494	27	30
SV_66	0	0	0	60	0	8	35	0	271	0	0	43	0	965	0	0	25	0	76	146	115	258	0	14	0	94	10	0	20	30	47	1513	0	0	28	0	254	154	0	38	73	44	169	201	0	880	9	0	58	0	0	0	0	0	166	10	158	141	182	0	0	153	0	0	0	0	0	0	0	156	0	43	14	313	0	0	15	0	43	178	35
SV_77	0	39	20	332	232	88	244	88	0	0	0	112	26	44	61	0	70	85	97	0	0	0	0	224	28	93	89	0	19	0	0	58	145	0	0	0	51	0	63	39	44	0	0	88	146	0	106	52	203	100	90	36	0	0	70	151	43	0	131	0	0	0	249	151	131	0	189	484	196	0	92	0	202	40	33	0	65	0	0	0	61
SV_88	7	246	8	13	385	8	65	611	15	0	20	8	12	0	5	0	6	15	0	0	205	3	38	12	16	8	355	19	6	0	5	367	11	0	7	0	9	9	7	0	0	36	0	18	31	5	86	0	227	2	0	174	14	83	5	28	3	189	3	267	2	0	172	86	9	45	24	11	30	44	6	0	8	0	27	15	0	14	11	14	117
SV_89	7	168	12	14	370	9	22	406	19	0	35	6	3	0	4	0	3	6	0	0	311	3	30	17	16	7	146	19	8	0	1	247	22	0	7	1	17	21	9	0	0	33	0	9	46	12	80	0	213	14	0	155	18	167	8	47	9	469	0	380	6	0	147	72	12	61	67	9	48	28	3	0	4	0	35	15	0	8	11	17	86
SV_99	9	37	138	0	0	9	4	10	0	0	0	5	0	10	0	0	0	9	0	0	8	0	0	0	0	31	19	0	4	36	33	5	1591	0	4	0	0	0	0	52	29	8	21	0	10	0	33	7	396	4	0	45	0	0	96	0	18	0	0	3	0	0	16	47	64	2	150	6	182	0	5	0	24	0	12	8	0	0	29	41	0
SV_118	10	0	8	11	3	73	0	0	6	7	31	75	0	19	10	10	1	3	16	0	0	0	0	25	6	15	7	25	23	9	0	2	4	4	11	17	146	91	66	75	23	19	163	0	4	10	47	729	5	136	27	2	0	3	5	1	4	3	17	4	35	78	5	54	2	0	5	0	3	13	8	4	48	25	0	0	13	26	3	126	5
